thickness_nm,penetration_depth_nm,sheet_inductance_fh_per_sq,effective_squares,kinetic_inductance_ph,geometric_inductance_ph,kinetic_fraction,frequency_ghz,frequency_shift_mhz,corrected_modal_impedance_ohm,model_frequency_low_ghz,model_frequency_high_ghz,total_frequency_low_ghz,total_frequency_high_ghz
100.0,79.128,116.6940470083698,631.5943028571429,73.70329526782997,1527.8406985014572,0.04602015027658829,10.174466773032774,-242.51866582864244,102.38360074526396,10.154505013171958,10.193597429290126,10.059427625790393,10.28935770957568
110.0,75.44558776182524,105.66309112927031,631.5943028571429,66.73620637952224,1527.8406985014572,0.04185198354199385,10.196669889401974,-220.31554945944265,102.16066178320071,10.178957780054171,10.213677239248648,10.083429571842823,10.309812947927117
120.0,72.23365088378131,97.56295792274824,631.5943028571429,61.62020839389894,1527.8406985014572,0.03876799242219789,10.213066717098624,-203.91872176279335,101.99664535062124,10.197018544163818,10.228507101328931,10.101156342390205,10.324920795532604
130.0,69.3998469517266,91.42668809333681,631.5943028571429,57.74457532884851,1527.8406985014572,0.03641846091907418,10.225540956637468,-191.4444822239485,101.87221862428393,10.21074565663817,10.23980305449219,10.114629022861102,10.336428899044956
140.0,66.87536586815806,86.63111132898743,631.5943028571429,54.71571636557135,1527.8406985014572,0.034574259629264935,10.235321624182475,-181.66381467894155,101.77487158048588,10.22148710866741,10.248680334719483,10.125171032487513,10.345473152112072
150.0,64.6077414556491,82.76652565235803,631.5943028571429,52.274866069308906,1527.8406985014572,0.03308293851501249,10.243223972553555,-173.76146630786238,101.69635523711531,10.23014092533124,10.255875371117398,10.133663945521008,10.352803680182282
160.0,62.556176673450885,79.55999603958296,631.5943028571429,50.24964023393744,1527.8406985014572,0.031842055553172634,10.249794632646866,-167.19080621455083,101.63116249843706,10.237312121323185,10.261879474026328,10.140701653564188,10.358920957821645
170.0,60.68840563751473,76.82806040727303,631.5943028571429,48.52416525279807,1527.8406985014572,0.030782318464795896,10.255402765504874,-161.58267335654307,101.57558583559529,10.2434113351706,10.267022733430002,10.146687225895148,10.364161244950514
180.0,58.978528974534456,74.44650591299454,631.5943028571429,47.01998900226795,1527.8406985014572,0.029856602158758714,10.260299151504913,-156.68628735650358,101.52711227073259,10.248718872261895,10.271528299883865,10.151895791333427,10.368751869363935
190.0,57.405484718705,72.33057990691238,631.5943028571429,45.68358219155919,1527.8406985014572,0.029032651578429467,10.264655304014292,-152.33013484712467,101.4840258180667,10.253427233338918,10.275548182090485,10.156516290862676,10.372847688161597
200.0,55.95194538172914,70.42185603187242,631.5943028571429,44.47804306635655,1527.8406985014572,0.028288184762083262,10.268589643853513,-148.39579500790379,101.44514290817659,10.257669715421056,10.279187069309677,10.16067955433084,10.376555353588982
