mode,eigenvalue_per_mm2,frequency_ghz,pinvit_correction_relative,eigenvalue_last_relative_change,rayleigh_quotient_per_mm2,electric_energy_sapphire_fraction,classification
1,-1.4664540362375978e-13,0.0,2.528966780256603e-13,0.13123267127573962,4.966338593126233e-26,0.9029353154308174,harmonic_zero
2,1.7052549237258834e-14,6.2306806263531375e-06,1.0731674911137198e-13,0.13607085380866626,1.6248870834194346e-27,0.8957300477599374,harmonic_zero
3,0.0476653125426723,10.416985438861417,2.8421957333401986e-13,2.7799066222504558e-12,0.04766531254278942,0.9032033221551313,physical
