case,metal_edge_um,nodes,tetrahedra,frequency_ghz,change_from_previous_percent
coarse,15.0,9371,38792,10.749728040487886,
medium,7.5,45523,212684,10.563557636506763,-1.7318615250537392
fine,5.0,68934,288488,10.47493930692071,-0.8389061018590509
finer,4.0,105368,452993,10.416985438861417,-0.5532620892705659
