mode,eigenvalue_per_mm2,frequency_ghz,pinvit_correction_relative,eigenvalue_last_relative_change,rayleigh_quotient_per_mm2,electric_energy_sapphire_fraction,classification
1,9.350844316022529e-15,4.61387949833626e-06,1.0360736420573593e-08,0.6215789746607214,3.780975780931982e-17,0.8946727369766514,harmonic_zero
2,1.170604243263424e-13,1.632472528320693e-05,1.1921251762695242e-07,1.638571265129353,2.2179098680175848e-14,0.9033780513332176,harmonic_zero
3,0.036469059958215,9.111777769251562,9.407396460520759e-09,1.8545418762884426e-12,0.03646905995809574,0.9030810836892142,physical
