pattern_id,target_al200_ghz,nominal_width_um,predicted_pec_ghz,predicted_al150_ghz,predicted_al200_ghz,target_error_al200_mhz,inductor_centerline_um,branch_squares,cutout_width_um,cutout_height_um
P01,8.9475,426.79,9.051725774852347,8.929617174458413,8.947516533439222,0.016533439222143897,2832.4242919921894,573.2747198001467,426.79,395.0
P02,8.9625,426.086,9.066878679532293,8.944573902326198,8.962502039098636,0.002039098635719938,2827.49629199219,572.2773064439763,426.086,395.0
P03,8.9775,425.382,9.082031584212238,8.959531357059014,8.977488166933965,-0.01183306603458334,2822.568291992189,571.2798930878056,425.382,395.0
P04,8.9925,424.676,9.097227536916842,8.974532038051349,8.99251749684234,0.017496842339426166,2817.62629199219,570.2796461709642,424.676,395.0
P05,9.0075,423.972,9.112380441596788,8.989490959124739,9.007504879821305,0.004879821304371035,2812.698291992189,569.2822328147932,423.972,395.0
P06,9.0225,423.268,9.127533346276733,9.004450617594832,9.02249289398843,-0.007106011571167414,2807.7702919921894,568.2848194586227,423.268,395.0
P07,9.0375,422.564,9.142686250956677,9.019411016969942,9.037481542345748,-0.018457654251236022,2802.84229199219,567.2874061024522,422.564,395.0
P08,9.0525,421.858,9.15788220366128,9.034414665072084,9.05251341200381,0.013412003809776252,2797.90029199219,566.2871591856107,421.858,395.0
