mode,eigenvalue_per_mm2,frequency_ghz,pinvit_correction_relative,eigenvalue_last_relative_change,rayleigh_quotient_per_mm2,electric_energy_sapphire_fraction,classification
1,-3.5025962783816152e-15,0.0,3.1225051331531766e-13,3.6250760440837806,5.101456945708534e-26,0.9031168833144945,harmonic_zero
2,6.86126710044064e-15,3.952237164245026e-06,8.83215841907786e-14,0.16417343284520503,6.635314899903455e-27,0.8947768286948953,harmonic_zero
3,0.03635995233644782,9.098137314852767,1.266754446249677e-12,1.1257587677890679e-12,0.03635995233623461,0.9029519244736182,physical
