square_side_mm,maximum_pair_coupling_khz,electric_component_khz,magnetic_component_khz,maximum_mixing_amplitude_percent,maximum_dispersive_shift_khz,worst_pair
0.8,10849.373026908916,10346.03091112555,503.3421157833658,108.90051436308855,11815.023031473997,P01-P02
0.8500000000000001,9045.19273727232,8625.553147154538,419.63959011778263,90.79106591313058,8212.226900066613,P01-P02
0.9000000000000001,7619.861440023816,7266.348184494209,353.51325552960657,76.48431187092083,5827.998587919855,P01-P02
0.9500000000000002,6478.9374425162405,6178.355826209393,300.58161630684725,65.03229433316962,4213.401667279093,P01-P02
1.0000000000000002,5554.87898977736,5297.167826496277,257.71116328108315,55.75706335390128,3097.2373975627142,P01-P02
1.0500000000000003,4798.513326662227,4575.892734258743,222.6205924034839,48.16504770880145,2311.206233100057,P01-P02
1.1000000000000003,4173.462802236936,3979.840590906295,193.62221133064097,41.89110695259301,1748.3097661117604,P01-P02
1.1500000000000004,3652.4231049740174,3482.973831837775,169.44927313624262,36.66117422792884,1339.0211980556526,P01-P02
1.2000000000000004,3214.6290450100473,3065.4906403334944,149.1384046765527,32.266819070544734,1037.2585377425721,P01-P02
1.2500000000000004,2844.098042766008,2712.1499271660937,131.9481155999145,28.547616437197455,811.9222003466799,P01-P02
1.3000000000000005,2528.392803722056,2411.091409420243,117.3013943018129,25.378727061402483,641.6739086967624,P01-P02
1.3500000000000005,2257.7367229700185,2152.99205466495,104.74466830506854,22.662018332124685,511.64871005057677,P01-P02
1.4000000000000006,2024.3728096856257,1930.4547472654062,93.91806242021973,20.3196295021506,411.3450546703955,P01-P02
1.4500000000000006,1822.093235401979,1737.5596626335725,84.53357276840642,18.289249531805734,333.2471785248204,P01-P02
1.5000000000000007,1645.8900710451428,1569.531207850748,76.35886319439494,16.52061136411889,271.9111021179883,P01-P02
1.5500000000000007,1491.693193186494,1422.488087407948,69.20510577854596,14.972861160458189,223.34915075581907,P01-P02
1.6000000000000008,1356.1716283636129,1293.2538638906922,62.917764472920645,13.61256429538605,184.60973486678074,P01-P02
1.6500000000000008,1236.5815710331651,1179.2120269351974,57.36954409796764,12.412179837805326,153.48672843779488,P01-P02
1.7000000000000008,1130.649092159039,1078.1941433943161,52.45494876472277,11.34888323914131,128.31604531354054,P01-P02
1.7500000000000009,1036.4788785590404,988.3928305998879,48.0860479591525,10.403650305101108,107.83163801151615,P01-P02
1.800000000000001,952.4826800029757,908.293523061775,44.189156941200764,9.560538983865094,91.0624779362475,P01-P02
1.850000000000001,877.3228025629056,836.620587368373,40.70221519453267,8.80612218094111,77.25811791494621,P01-P02
1.900000000000001,809.8671803145293,772.2944782761733,37.572702038355864,8.129036791646193,65.8344010512357,P01-P02
1.950000000000001,749.1534233250533,714.3974546430347,34.755968682018626,7.51962283300814,56.33351187461283,P01-P02
2.000000000000001,694.3598737221698,662.1459783120343,32.21389541013537,6.969632919237657,48.39433433691738,P01-P02
2.0500000000000007,644.7821697047182,614.868365403436,29.913804301282113,6.471997023130979,41.730282828968704,P01-P02
2.1000000000000005,599.8141658327784,571.9865917823429,27.827574050435487,6.020630963600182,36.11259739218839,P01-P02
2.1500000000000004,558.9323193960141,533.0014038005487,25.930915595465365,5.610279683942425,31.357666362062762,P01-P02
2.2,521.6828502796171,497.48007386328703,24.20277641633013,5.236388369074128,27.317340095496274,P01-P02
2.25,487.6711321615243,465.0462838076295,22.62484835389482,4.894995959738935,23.871482216119738,P01-P02
2.3,456.55288812175274,435.37172897972243,21.181159142030356,4.58264677849111,20.922206219619625,P01-P02
2.3499999999999996,428.02685260702293,408.1691206377226,19.85773196930032,4.296316874211021,18.38938989470986,P01-P02
2.3999999999999995,401.8286306262565,383.18633004168737,18.642300584569117,4.033352383818097,16.20716465222773,P01-P02
2.4499999999999993,377.72553883347024,360.2014688775109,17.524069955959405,3.7914177496724224,14.321153124377993,P01-P02
2.499999999999999,355.51225534575167,339.0187408957623,16.49351444998935,3.568452054649688,12.68628438041692,P01-P02
2.549999999999999,335.0071384174939,319.4649313760945,15.542207041399381,3.3626320708566935,11.265057476085925,P01-P02
2.5999999999999988,316.0491004652578,301.3864261775312,14.66267428772665,3.1723408826753183,10.026154823386964,P01-P02
2.6499999999999986,298.4949449425968,284.64667216541386,13.848272777182972,2.9961411556601174,8.943329892990153,P01-P02
2.6999999999999984,282.2170903712531,269.1240068331195,13.093083538133605,2.8327522915155936,7.994511094540305,P01-P02
2.7499999999999982,267.10161934316454,254.70979781800352,12.391821525161054,2.6810308449659592,7.161076801993804,P01-P02
2.799999999999998,253.04660121070407,241.30684340817655,11.739757802527503,2.539953687768834,6.427266479224972,P01-P02
2.849999999999998,239.96064601912067,228.8279935633115,11.132652455809188,2.4086034938211034,5.77970050381223,P01-P02
2.8999999999999977,227.7616544252482,217.19495782919734,10.566696596050841,2.286156191475725,5.206987164450356,P01-P02
2.9499999999999975,216.37573421926794,206.3372721260224,10.038462093245517,2.17187008813565,4.699399849492175,P01-P02
2.9999999999999973,205.7362588806437,196.1914009813443,9.544857899299407,2.0650764205148695,4.248610970593602,P01-P02
3.049999999999997,195.7830475600118,186.69995555562082,9.083092004390993,1.9651711237117282,3.8474719157721515,P01-P02
3.099999999999997,186.4616491483126,177.8110109259943,8.650638222318285,1.871607645057282,3.4898304805597054,P01-P02
3.149999999999997,177.72271580230534,169.47750867625035,8.24520712605499,1.783890655881542,3.170378920576234,P01-P02
3.1999999999999966,169.52145354545232,161.6567329863372,7.864720559115115,1.7015705369232637,2.8845271072934744,P01-P02
3.2499999999999964,161.8171394382124,154.3098502028963,7.50728923531606,1.624238531929767,2.6282963300219646,P01-P02
3.2999999999999963,154.57269637914632,147.40150336690036,7.171193012245989,1.5515224797256728,2.3982301318405663,P01-P02
3.349999999999996,147.7543179121736,140.89945442747413,6.854863484699494,1.4830830482180726,2.1913192419656857,P01-P02
3.399999999999996,141.33113651988054,134.77426792429017,6.556868595590379,1.4186104048926709,2.0049382080240914,P01-P02
3.4499999999999957,135.27492981385316,128.99903080880713,6.275899005046055,1.3578212677010748,1.8367917668802003,P01-P02
3.4999999999999956,129.5598598198807,123.54910382498662,6.010755994894094,1.300456288137645,1.684869343929957,P01-P02
3.5499999999999954,124.1622412225919,118.40190050590905,5.7603407166828475,1.246277724996472,1.5474063552135504,P01-P02
3.599999999999995,119.06033500037266,113.53669038272253,5.523644617650127,1.1950673729831436,1.422851217753884,P01-P02
3.649999999999995,114.23416436356021,108.93442346213772,5.299740901422494,1.146624715195512,1.3098371617896454,P01-P02
3.699999999999995,109.66535032036379,104.57757342104718,5.087776899316611,1.1007652726176445,1.2071580924210472,P01-P02
3.7499999999999947,105.33696454688972,100.44999730244842,4.886967244441305,1.0573191273036147,1.1137478742752924,P01-P02
3.7999999999999945,101.23339753931674,96.53680978452222,4.6965877547945105,1.01612959895578,1.0286625164255698,P01-P02
3.8499999999999943,97.34024028541008,92.82427034183826,4.515969943571824,0.9770520572033404,0.9510648201952739,P01-P02
3.899999999999994,93.64417791563223,89.29968183037988,4.344496085252355,0.939952854126023,0.8802111230408362,P01-P02
