pattern_id,target_al200_ghz,nominal_width_um,predicted_pec_ghz,predicted_al150_ghz,predicted_al200_ghz,target_error_al200_mhz,inductor_centerline_um,branch_squares,cutout_width_um,cutout_height_um
P01,8.965,425.968,9.06941851298717,8.947080924903654,8.96501387499588,0.013874995879348262,2826.670291992186,572.11012636439,425.968,395.0
P02,8.975,425.498,9.07953479878202,8.957066726285468,8.975018818840208,0.018818840208822962,2823.3802919921854,571.4442396067193,425.498,395.0
P03,8.985,425.03,9.08960803655221,8.967010358095632,8.984981465105346,-0.018534894653754463,2820.1042919921856,570.7811864097195,425.03,395.0
P04,8.995,424.56,9.09972432234706,8.976996809680083,8.994986965503921,-0.013034496078034863,2816.8142919921856,570.1152996520487,424.56,395.0
P05,9.005,424.09,9.10984060814191,8.986983588622259,9.004992746110661,-0.007253889339864372,2813.5242919921857,569.449412894378,424.09,395.0
P06,9.015,423.62,9.11995689393676,8.99697069596594,9.014998807818728,-0.0011921812728132863,2810.2342919921857,568.7835261367073,423.62,395.0
P07,9.025,423.15,9.13007317973161,9.00695813275501,9.025005151521375,0.005151521374813228,2806.9442919921853,568.1176393790365,423.15,395.0
P08,9.035,422.68,9.14018946552646,9.016945900033454,9.035011778111924,0.011778111923987922,2803.654291992186,567.4517526213658,422.68,395.0
